"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS2002","French Camp","San Joaquin County","CA","San Joaquin County Sheriff's Office","Sheriff","The San Joaquin County Sheriff's Office operates eight drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","Autel Robotics, DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.lodinews.com/news/article_5b6b7ff8-ca1f-11e9-9404-e77147a47697.html","","www.lodinews.com","","","https://sacramento.cbslocal.com/2019/07/01/drones-help-san-joaquin-county-deputies-locate-people/","","sacramento.cbslocal.com","","",""
"AOS2003","San Jose","Santa Clara County","CA","San Jose Police Department","Police","The San Jose Police Department operates one Century Helicopter Products Neo 660 V2 drone as of 2014, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","Century Helicopter Products","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.mercurynews.com/2014/08/05/san-jose-police-apologize-for-drone-secrecy-promise-transparency/","","www.mercurynews.com","","","","","","","",""
"AOS2004","Oceano","San Luis Obispo County","CA","San Luis Obispo County Sheriff's Office","Sheriff","The San Luis Obispo County Sheriff's Office Search and Rescue Team operates one DJI Matrice 210 drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://safslo.org/media/Newsletter-201808.pdf","","safslo.org","","","","","","","",""
"AOS2006","San Pablo","Contra Costa County","CA","San Pablo Police Department","Police","The San Pablo Police Department operates one Impossible Aerospace US-1 drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","Impossible Aerospace","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://richmondstandard.com/uncategorized/2019/08/08/new-drone-public-safety-program-coming-to-san-pablo/","","richmondstandard.com","","","","","","","",""
"AOS2007","San Ramon","Contra Costa County","CA","San Ramon Police Department","Police","The San Ramon Police Department operates two DJI drones, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://patch.com/california/sanramon/suspicious-device-prompts-evacuation-san-ramon-shopping-center","","patch.com","","","https://www.facebook.com/DanvilleCAPolice/videos/drone-demo-1-is-done-k9-demo-at-1130am-and-drone-demo-2-at-1230pm-plenty-of-time/511410796327324/?__so__=permalink&__rv__=related_videos","","www.facebook.com","","",""
"AOS2011","Santa Cruz","Santa Cruz County","CA","Santa Cruz County Sheriff's Office","Sheriff","The Santa Cruz County Sheriff's Office operates 12 DJI drones as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.scsheriff.com/Portals/1/County/sheriff/SCSO_Report_2018.pdf","","www.scsheriff.com","","","https://www.facebook.com/SantaCruzSheriffsOffice/posts/2357929474284790?comment_id=2358004394277298","","www.facebook.com","","",""
"AOS2012","Santa Monica","Los Angeles County","CA","Santa Monica Police Department","Police","The Santa Monica Police Department operates one drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/commercial_operators/part_107_waivers/waivers_issued/media/107W-2019-01417_Joseph_Cortez_CoW.pdf","","www.faa.gov","","","","","","","",""
"AOS2013","Santa Rosa","Sonoma County","CA","Santa Rosa Police Department","Police","The Santa Rosa Police Department operates three DJI drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://srcity.org/2828/Drone-Program","","srcity.org","","","https://srcity.org/2828/Drone-Program","","srcity.org","","",""
"AOS2027","Selma","Fresno County","CA","Selma Police Department","Police","The Selma Police Department operates one drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://hanfordsentinel.com/community/selma-police-adds-drones-to-policing-tools/article_600077f4-0c66-5815-adcc-865b31f5070e.html","","hanfordsentinel.com","","","","","","","",""
"AOS2047","Santa Rosa","Sonoma County","CA","Sonoma County Sheriff's Office","Sheriff","The Sonoma County Sheriff's Office operates two drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.pressdemocrat.com/news/7434119-181/sonoma-county-santa-rosa-law","","www.pressdemocrat.com","","","","","","","",""
"AOS2075","Modesto","Stanislaus County","CA","Stanislaus County Sheriff's Office","Sheriff","The Stanislaus County Sheriff's Office operates one DJI Phantom drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://twitter.com/stansheriff/status/746500327034097665","","twitter.com","","","","","","","",""
"AOS2081","Stockton","San Joaquin County","CA","Stockton Police Department","Police","The Stockton Police Department operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.kcra.com/article/stockton-police-get-new-crime-fighting-tools-drones/13823555","","www.kcra.com","","","","","","","",""
"AOS2093","Sunnyvale","Santa Clara County","CA","Sunnyvale Police Department","Police","The Sunnyvale Police Department operates one drone, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://sunnyvale.ca.gov/government/safety/drone.htm","","sunnyvale.ca.gov","","","Call","","","","",""
"AOS2114","Tiburon","Marin County","CA","Tiburon Police Department","Police","The Tiburon Police Department operates one drone, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.townoftiburon.org/DocumentCenter/View/1943/Tiburon_PD_Policy_Manual_January-2018","","www.townoftiburon.org","","","","","","","",""
"AOS2121","Torrance","Los Angeles County","CA","Torrance Police Department","Police","The Torrance Police Department operates one DJI Matrice 210 drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2016-01608_Matthew_Slawson_CoW.pdf","","www.faa.gov","","","https://www.dailybreeze.com/2018/03/29/torrance-police-search-for-suspect-who-attempted-burglary-vehicle-theft/","","www.dailybreeze.com","","",""
"AOS2125","Visalia","Tulare County","CA","Tulare County Sheriff's Office","Sheriff","The Tulare County Sheriff's Office operates eight DJI drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.visaliatimesdelta.com/story/news/local/2016/03/08/sheriffs-department-adds-drone/81508718/","","www.visaliatimesdelta.com","","","http://tularecounty.ca.gov/sheriff/index.cfm/slideshow/sheriffs-unmanned-aerial-vehicle-unit/","","tularecounty.ca.gov","","",""
"AOS2126","Sonora","Tuolumne County","CA","Tuolumne County Sheriff's Office","Sheriff","The Tuolumne County Sheriff's Office operates one drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://fox40.com/2017/04/07/teams-search-for-missing-amador-county-elderly-woman/","","fox40.com","","","","","","","",""
"AOS2141","Upland","San Bernardino County","CA","Upland Police Department","Police","The Upland Police Department operates one DJI Phantom drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.dailybulletin.com/government-and-politics/20170328/upland-police-officers-seized-two-drones-what-they-plan-to-do-with-them","","www.dailybulletin.com","","","","","","","",""
"AOS2147","Vacaville","Solano County","CA","Vacaville Police Department","Police","The Vacaville Police Department operates one drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2017-04468_Andrew_Lechuga_CoW.pdf","","www.faa.gov","","","","","","","",""
"AOS2150","Ventura","Ventura County","CA","Ventura County Sheriff's Office","Sheriff","The Ventura County Sheriff's Office operates six drones as of 2013, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","AeroVironment, DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.venturasheriff.org/public-resources/required-public-postings/standard-operating-procedures/unmanned-aerial-systems-unit/","","www.venturasheriff.org","","","https://www.theacorn.com/articles/rethinking-drones/","","www.theacorn.com","","",""
"AOS2151","Ventura","Ventura County","CA","Ventura Police Department","Police","The Ventura Police Department operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.muckrock.com/foi/ventura-3487/california-public-records-request-unmanned-aeriel-vehicles-ventura-police-department-66976/","","www.muckrock.com","","","","","","","",""
"AOS2184","West Covina","Los Angeles County","CA","West Covina Police Department","Police","The West Covina Police Department operates one drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2017-03342_Erich_Hoefke_CoW.pdf","","www.faa.gov","","","","","","","",""
"AOS2228","Marysville","Yuba County","CA","Yuba County Sheriff's Office","Sheriff","The Yuba County Sheriff's Office operates one drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://eterritorial.com/76-local-news/yuba-sutter-news/14583-grant-to-yuba-county-sheriff-department-purchase-drone-for-safety-investigations","","eterritorial.com","","","","","","","",""
"AOS2230","Anaheim","Orange County","CA","Anaheim Police Department","Police","The Anaheim Police Department has possessed at least three different forms of cell phone surveillance technology since at least 2009, including a ""DRTbox"" from Digital Researver Technology and a KingFish from Harris Corp.","Municipal","Cell-site Simulator","Digital Receiver Technology, Harris Corp.","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","https://www.aclunc.org/blog/dirtbox-over-disneyland-new-docs-reveal-anaheim-s-cellular-surveillance-arsenal","","ACLU of Northern California","","1/26/2016",""
"AOS2236","Sacramento","Sacramento County","CA","California Department of Justice","State Police","The California Department of Justice acquired cell-site simulator technology in 2012, according data compiled by Kevin Collier for Vocativ.","State","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","","","","","",""
"AOS2255","Los Angeles","Los Angeles County","CA","Los Angeles Police Department","Police","The Los Angeles Police Department acquired a cell-site simulator from Digital Receiver Technology in 2005, according to data compiled by Kevin Collier for Vocativ. In 2010, LAPD acquired a Stingray II cell-site simulator from Harris Corp.","Municipal","Cell-site Simulator","Digital Receiver Technology","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=04-2499-S2","","Los Angeles City Clerk","","08/12/2005",""
"AOS2256","Los Angeles","Los Angeles County","CA","Los Angeles County Sheriff's Department","Sheriff","The Los Angeles County Sheriff's Department has an extensive history of using Harris Corp. cell-site simulators.","County","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","https://www.scribd.com/document/249101526/LASD-PRA-Harris-Stingray","","www.scribd.com","","",""
"AOS2274","Sacramento","Sacramento County","CA","Sacramento County Sheriff's Office","Sheriff","The Sacramento County Sheriff's Office acquired cell-site simulator technology in 2014, according data compiled by Kevin Collier for Vocativ.","County","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","https://www.documentcloud.org/documents/2426424-sacramento-co-sheriff-fbi-nda-25mar2014.html","","www.documentcloud.org","","",""
"AOS2275","San Bernardino","San Bernardino County","CA","San Bernardino County Sheriff's Department","Sheriff","The San Bernardino County Sheriff's Department first acquired cell-site simulator technology from Harris Corp. in 2006. The agency upgraded the system in 2012.","County","Cell-site Simulator","Harris Corp.","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","http://www.desertsun.com/story/tech/2014/02/16/law-enforcement-officials-cell-phone-disclosures-would-hurt-investigations/5528517/","","Desert Sun","","2/16/2014",""
"AOS2276","San Diego","San Diego County","CA","San Diego Police Department","Police","The San Diego Police Department acquired cell-site simulator technology in 2010, according data compiled by Kevin Collier for Vocativ.","Municipal","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","http://www.sandiegouniontribune.com/news/watchdog/sdut-san-diego-police-surveillancecell-phone-stingray-2016jul31-story.html","","San Diego Union-Tribune","","7/31/2016",""
"AOS2277","San Francisco","San Francisco County","CA","San Francisco Police Department","Police","The San Francisco Police Department acquired cell-site simulator technology in 2009, according data compiled by Kevin Collier for Vocativ.","Municipal","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","https://www.documentcloud.org/documents/3473907-SFstingray.html","","www.documentcloud.org","","",""
"AOS2278","San Jose","Santa Clara County","CA","San Jose Police Department","Police","The San Jose Police Department acquired cell-site simulator technology in 2013, according data compiled by Kevin Collier for Vocativ.","Municipal","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","https://web.archive.org/web/20171127152123/http://www.abc10.com:80/news/investigations/watchdog/9-calif-law-enforcement-agencies-connected-to-cellphone-spying-technology/277656425","","ABC 10","","3/6/2014",""
"AOS2286","Ventura","Ventura County","CA","Ventura County Sheriff's Office","Sheriff","The Ventura County Sheriff's Office acquired cell-site simulator technology in 2011, according data compiled by Kevin Collier for Vocativ.","County","Cell-site Simulator","","https://web.archive.org/web/20170416100107/https://www.vocativ.com/389656/stingray-devices-in-trumps-america/","","Vocativ","","4/11/2017","https://github.com/kevincollier/Stingray","","Kevin Collier","","4/11/2017","http://www.cehrp.org/ventura-county-sheriff-has-a-stingray/","","Center For Human Rights and Privacy","","",""
"AOS2291","Pleasant Hill","Contra Costa County","CA","Pleasant Hill Police Department","Police","The Pleasant Hill Police Department scanned 11,292,582 license plates in 2018 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/pleasant-hill-3376/alpr-detectionshitssharing-80453/#comms","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/pleasant_hill_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2292","Tiburon","Marin County","CA","Tiburon Police Department","Police","The Tiburon Police Department scanned 7,814,405 license plates in 2018 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/tiburon-3472/alpr-detectionshitssharing-80456/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/tiburon_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2293","Sausalito","Marin County","CA","Sausalito Police Department","Police","The Sausalito Police Department scanned 7,727,971 license plates in 2018 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/sausalito-3439/alpr-detectionshitssharing-80466/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/sausalito_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2294","Redondo Beach","Los Angeles County","CA","Redondo Beach Police Department","Police","The Redondo Beach Police Department scanned 6,637,751 license plates in 2018 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/redondo-beach-3393/alpr-detectionshitssharing-80459/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/redondo_beach_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2295","Newport Beach","Orange County","CA","Newport Beach Police Department","Police","The Newport Beach Police Department scanned 451,377 license plates in 2018 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/newport-beach-3347/alpr-detectionshitssharing-80458/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/newport_beach_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2296","Hollywood","Los Angeles County","CA","Hollywood Police Department","Police","The Hollywood Police Department shared data collected using Vigilant Solutions automated license plate readers with 109 other law enforcement agencies, according to documents produced in 2019.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/hollywood-10511/2018-vigilant-data-sharing-information-hollywood-police-department-48795/","","MuckRock","","","","","","","","","","","","",""
"AOS2297","Seal Beach","Orange County","CA","Seal Beach Police Department","Police","The Seal Beach Police Department scanned 80,511 license plates in 2017 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/seal-beach-3441/2018-vigilant-data-sharing-information-seal-beach-police-department-49046/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/seal_beach_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2298","Tustin","Orange County","CA","Tustin Police Department","Police","The Tustin Police Department  scanned 332,208 license plates in 2018 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/tustin-3480/alpr-detectionshitssharing-tustin-police-department-83327/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/tustin_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2299","Fullerton","Orange County","CA","Fullerton Police Department","Police","The Fullerton Police Department scanned 567,397 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/fullerton-3223/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-fullerton-police-department-86987/#files","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/fullerton_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2300","Modesto","Stanislaus County","CA","Modesto Police Department","Police","The Modesto Police Department scanned 10,255,590 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/modesto-3326/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-modesto-police-department-86974/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/modesto_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2301","Claremont","Los Angeles County","CA","Claremont Police Department","Police","The Claremont Police Department scanned 20,210,919 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/claremont-3151/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-claremont-police-department-87014/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/claremont_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2302","Pomona","Los Angeles County","CA","Pomona Police Department","Police","The Pomona Police Department scanned 5,507,773 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/pomona-3380/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-pomona-police-department-86992/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/pomona_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2303","American Canyon","Napa County","CA","American Canyon Police Department","Police","The American Canyon Police Department scanned 3,751 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/american-canyon-3088/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-american-canyon-police-department-87001/","","MuckRock","","","","","","","","","","","","",""
"AOS2304","San Diego","San Diego County","CA","San Diego Police Department","Police","The San Diego Police Department scanned 86,729 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/san-diego-56/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-san-diego-police-department-86939/#files","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/san_diego_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2354","Buena Park","Orange County","CA","Buena Park Police Department","Police","The Buena Park Police Department scanned 453,859 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/buena-park-3128/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-buena-park-police-department-87007/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/buena_park_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2355","Santa Ana","Orange County","CA","Orange County Sheriff's Office","Sheriff","The Orange County Sheriff's Office scanned 1,551,078 license plates in 2019 using Vigilant Solutions automated license plate readers.","County","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/orange-county-394/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-orange-county-sheriffs-office-86943/#files","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/orange_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2356","Laguna Beach","Orange County","CA","Laguna Beach Police Department","Police","The Laguna Beach Police Department scanned 20,256,937 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/laguna-beach-3279/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-laguna-beach-police-department-87035/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/laguna_beach_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2357","Brentwood","Contra Costa County","CA","Brentwood Police Department","Police","The Brentwood Police Department scanned 12,735,566 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/brentwood-3125/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-brentwood-police-department-86961/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/brentwood_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2359","Galt","Sacramento County","CA","Galt Police Department","Police","The Galt Police Department scanned 7,984 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/galt-3224/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-galt-police-department-86966/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/galt_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2361","Lodi","San Joaquin County","CA","Lodi Police Department","Police","The Lodi Police Department scanned 1,478,784 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/lodi-3297/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-lodi-police-department-86996/","","MuckRock","","","","","","","","","","","","",""
"AOS2362","Folsom","Sacramento County","CA","Folsom Police Department","Police","The Folsom Police Department scanned 8,588,649 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/folsom-3214/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-folsom-police-department-87044/","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/folsom_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2363","San Diego","San Diego County","CA","San Diego County Sheriff's Department","Sheriff","The San Diego County Sheriff's Department scanned 7,086,646 license plates in 2019 using Vigilant Solutions automated license plate readers.","County","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/san-diego-county-55/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-san-diego-county-sheriff-86933/#comms","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/san_diego_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS2365","Simi Valley","Ventura County","CA","Simi Valley Police Department","Police","The Simi Valley Police Department scanned 280,587 license plates in 2019 using Vigilant Solutions automated license plate readers.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.muckrock.com/foi/simi-valley-3449/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-simi-valley-police-department-86973/#comms","","MuckRock","","","https://www.auditor.ca.gov/reports/2019-118/surveys/simi_valley_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
